label,note,mean_real,std_real,day_-2,day_-1,day_0,flat,reversed,high_vol,stepped,robust_score,delta_vs_v3_real,delta_vs_v3_flat,delta_vs_v3_reversed,delta_vs_v3_high_vol,delta_vs_v3_stepped
GC_w32_g0p02_t00_l1,"guarded carry: window=32, neg_slope=0.02, guard_target=0, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-130.0,-3402.0,85545.0,32888.0,90395.56999999999,35.66666666667152,321.0,77029.0,-1293.0,33339.0
GC_w32_g0p01_t00_l1,"guarded carry: window=32, neg_slope=0.01, guard_target=0, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,153.0,-3402.0,85043.0,32888.0,90376.12999999999,35.66666666667152,604.0,77029.0,-1795.0,33339.0
GC_w32_g0p05_t00_l1,"guarded carry: window=32, neg_slope=0.05, guard_target=0, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-289.0,-4577.0,86914.0,32888.0,90343.34,35.66666666667152,162.0,75854.0,76.0,33339.0
GC_w24_g0p02_t00_l1,"guarded carry: window=24, neg_slope=0.02, guard_target=0, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-121.0,-3402.0,79749.0,32888.0,90105.95,35.66666666667152,330.0,77029.0,-7089.0,33339.0
GC_w24_g0p01_t00_l1,"guarded carry: window=24, neg_slope=0.01, guard_target=0, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,36.0,-3402.0,79199.0,32888.0,90081.59,35.66666666667152,487.0,77029.0,-7639.0,33339.0
GC_w32_g0p02_t00_all,"guarded carry: window=32, neg_slope=0.02, guard_target=0, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-256.0,-7760.0,85431.0,32810.0,89908.08333333333,0.0,195.0,72671.0,-1407.0,33261.0
GC_w32_g0p01_t00_all,"guarded carry: window=32, neg_slope=0.01, guard_target=0, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,27.0,-7760.0,84929.0,32810.0,89888.64333333334,0.0,478.0,72671.0,-1909.0,33261.0
GC_w32_g0p05_t00_all,"guarded carry: window=32, neg_slope=0.05, guard_target=0, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-415.0,-9006.0,86800.0,32810.0,89848.75333333334,0.0,36.0,71425.0,-38.0,33261.0
GC_w24_g0p05_t00_l1,"guarded carry: window=24, neg_slope=0.05, guard_target=0, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-292.0,-4450.0,81870.0,29714.0,89786.38,35.66666666667152,159.0,75981.0,-4968.0,30165.0
GC_w24_g0p02_t00_all,"guarded carry: window=24, neg_slope=0.02, guard_target=0, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-247.0,-7760.0,79635.0,32810.0,89618.46333333335,0.0,204.0,72671.0,-7203.0,33261.0
GC_w24_g0p01_t00_all,"guarded carry: window=24, neg_slope=0.01, guard_target=0, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-90.0,-7760.0,79085.0,32810.0,89594.10333333335,0.0,361.0,72671.0,-7753.0,33261.0
GC_w24_g0p05_t00_all,"guarded carry: window=24, neg_slope=0.05, guard_target=0, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-421.0,-9330.0,81756.0,29636.0,89246.63333333333,0.0,30.0,71101.0,-5082.0,30087.0
GC_w16_g0p01_t00_l1,"guarded carry: window=16, neg_slope=0.01, guard_target=0, open_take_mode=level1_only",79391.66666666667,105.4018764328015,79510.0,79411.0,79254.0,-150.5,-5633.0,66696.0,31023.0,89017.77666666666,10.333333333343035,300.5,74798.0,-20142.0,31474.0
GC_w16_g0p02_t00_l1,"guarded carry: window=16, neg_slope=0.02, guard_target=0, open_take_mode=level1_only",79409.66666666667,126.56048180832576,79564.0,79411.0,79254.0,-167.0,-5633.0,69062.0,28806.0,88932.04666666666,28.333333333343035,284.0,74798.0,-17776.0,29257.0
GC_w16_g0p01_t00_all,"guarded carry: window=16, neg_slope=0.01, guard_target=0, open_take_mode=all_asks",79377.0,108.00925886237717,79495.0,79234.0,79402.0,-282.5,-11896.0,66069.0,31008.0,88341.31999999999,-4.333333333328483,168.5,68535.0,-20769.0,31459.0
GC_w16_g0p02_t00_all,"guarded carry: window=16, neg_slope=0.02, guard_target=0, open_take_mode=all_asks",79395.0,128.69343417595164,79549.0,79234.0,79402.0,-293.0,-11896.0,68478.0,28791.0,88257.86,13.666666666671517,158.0,68535.0,-18360.0,29242.0
GC_w16_g0p05_t00_l1,"guarded carry: window=16, neg_slope=0.05, guard_target=0, open_take_mode=level1_only",79399.66666666667,127.24342375497795,79564.0,79381.0,79254.0,-265.0,-9919.0,73268.5,22086.5,88029.86166666666,18.333333333343035,186.0,70512.0,-13569.5,22537.5
GC_w32_g0p05_t20_l1,"guarded carry: window=32, neg_slope=0.05, guard_target=20, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-289.0,-22158.0,86914.0,26228.0,87919.24,35.66666666667152,162.0,58273.0,76.0,26679.0
GC_w32_g0p02_t20_l1,"guarded carry: window=32, neg_slope=0.02, guard_target=20, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-130.0,-21521.0,85545.0,26228.0,87917.67,35.66666666667152,321.0,58910.0,-1293.0,26679.0
GC_w32_g0p01_t20_l1,"guarded carry: window=32, neg_slope=0.01, guard_target=20, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,153.0,-21521.0,85043.0,26228.0,87898.23,35.66666666667152,604.0,58910.0,-1795.0,26679.0
GC_w24_g0p02_t20_l1,"guarded carry: window=24, neg_slope=0.02, guard_target=20, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-121.0,-21521.0,79749.0,26228.0,87628.05,35.66666666667152,330.0,58910.0,-7089.0,26679.0
GC_w24_g0p01_t20_l1,"guarded carry: window=24, neg_slope=0.01, guard_target=20, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,36.0,-21521.0,79199.0,26228.0,87603.69,35.66666666667152,487.0,58910.0,-7639.0,26679.0
GC_w32_g0p02_t20_all,"guarded carry: window=32, neg_slope=0.02, guard_target=20, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-256.0,-24902.0,85431.0,26150.0,87527.88333333332,0.0,195.0,55529.0,-1407.0,26601.0
GC_w24_g0p05_t20_l1,"guarded carry: window=24, neg_slope=0.05, guard_target=20, open_take_mode=level1_only",79417.0,158.82065356873457,79627.0,79381.0,79243.0,-292.0,-22158.0,81870.0,24726.0,87516.78,35.66666666667152,159.0,58273.0,-4968.0,25177.0
GC_w32_g0p01_t20_all,"guarded carry: window=32, neg_slope=0.01, guard_target=20, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,27.0,-24902.0,84929.0,26150.0,87508.44333333333,0.0,478.0,55529.0,-1909.0,26601.0
GC_w32_g0p05_t20_all,"guarded carry: window=32, neg_slope=0.05, guard_target=20, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-415.0,-25938.0,86800.0,26150.0,87489.55333333334,0.0,36.0,54493.0,-38.0,26601.0
GC_w24_g0p02_t20_all,"guarded carry: window=24, neg_slope=0.02, guard_target=20, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-247.0,-24902.0,79635.0,26150.0,87238.26333333334,0.0,204.0,55529.0,-7203.0,26601.0
GC_w24_g0p01_t20_all,"guarded carry: window=24, neg_slope=0.01, guard_target=20, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-90.0,-24902.0,79085.0,26150.0,87213.90333333334,0.0,361.0,55529.0,-7753.0,26601.0
GC_w24_g0p05_t20_all,"guarded carry: window=24, neg_slope=0.05, guard_target=20, open_take_mode=all_asks",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-421.0,-26262.0,81756.0,24648.0,87054.63333333332,0.0,30.0,54169.0,-5082.0,25099.0
GC_w16_g0p05_t00_all,"guarded carry: window=16, neg_slope=0.05, guard_target=0, open_take_mode=all_asks",79385.0,141.35770230164326,79549.0,79204.0,79402.0,-391.0,-21416.0,73154.5,22071.5,86855.775,3.6666666666715173,60.0,59015.0,-13683.5,22522.5
GC_w16_g0p02_t20_l1,"guarded carry: window=16, neg_slope=0.02, guard_target=20, open_take_mode=level1_only",79409.66666666667,126.56048180832576,79564.0,79411.0,79254.0,-167.0,-22775.0,69062.0,24131.0,86750.34666666666,28.333333333343035,284.0,57656.0,-17776.0,24582.0
GC_w16_g0p01_t20_l1,"guarded carry: window=16, neg_slope=0.01, guard_target=20, open_take_mode=level1_only",79391.66666666667,105.4018764328015,79510.0,79411.0,79254.0,-150.5,-22775.0,66696.0,24984.0,86699.67666666667,10.333333333343035,300.5,57656.0,-20142.0,25435.0
GC_w16_g0p02_t20_all,"guarded carry: window=16, neg_slope=0.02, guard_target=20, open_take_mode=all_asks",79395.0,128.69343417595164,79549.0,79234.0,79402.0,-293.0,-27726.0,68478.0,24116.0,86207.36,13.666666666671517,158.0,52705.0,-18360.0,24567.0
GC_w16_g0p05_t20_l1,"guarded carry: window=16, neg_slope=0.05, guard_target=20, open_take_mode=level1_only",79399.66666666667,127.24342375497795,79564.0,79381.0,79254.0,-265.0,-25446.0,73268.5,18947.0,86163.21166666667,18.333333333343035,186.0,54985.0,-13569.5,19398.0
GC_w16_g0p01_t20_all,"guarded carry: window=16, neg_slope=0.01, guard_target=20, open_take_mode=all_asks",79377.0,108.00925886237717,79495.0,79234.0,79402.0,-282.5,-27726.0,66069.0,24969.0,86154.42,-4.333333333328483,168.5,52705.0,-20769.0,25420.0
GC_w16_g0p05_t20_all,"guarded carry: window=16, neg_slope=0.05, guard_target=20, open_take_mode=all_asks",79385.0,141.35770230164326,79549.0,79204.0,79402.0,-391.0,-33262.0,73154.5,18932.0,85357.22499999999,3.6666666666715173,60.0,47169.0,-13683.5,19383.0
C_v3_nearhold,"Control: V3_nearhold (uploaded, scored +7259 official on day 0)",79381.33333333333,141.01142585699296,79549.0,79204.0,79391.0,-451.0,-80431.0,86838.0,-451.0,79381.33333333333,0.0,0.0,0.0,0.0,0.0
C_buyhold_80,"Control: buy-and-hold PEPPER, position_limit=80",79351.33333333333,145.10762289494727,79543.0,79192.0,79319.0,-457.0,-80450.0,79697.0,-457.0,78991.66333333333,-30.0,-6.0,-19.0,-7141.0,-6.0
